"Age","Length","Sex"
40,797,"F"
49,923,"F"
42,864,"F"
41,883,"F"
26,769,"F"
19,753,"F"
13,614,"M"
22,729,"F"
52,894,"F"
44,714,"F"
51,709,"F"
46,781,"F"
42,736,"F"
44,851,"F"
46,742,"M"
45,840,"M"
52,796,"M"
16,706,"M"
45,710,"M"
47,865,"F"
16,719,"F"
46,749,"M"
16,720,"M"
44,892,"F"
46,920,"F"
46,908,"F"
15,723,"F"
43,919,"F"
44,938,"F"
18,668,"M"
54,856,"F"
10,651,"M"
10,621,"M"
9,670,"F"
42,945,"F"
13,636,"M"
13,696,"M"
9,641,"F"
49,1063,"F"
46,873,"F"
45,788,"M"
51,763,"M"
9,620,"F"
43,816,"F"
16,625,"F"
41,900,"F"
45,780,"M"
44,761,"M"
2,144,""
2,140,"F"
41,810,"M"
47,905,"F"
43,819,"F"
53,858,"F"
11,640,"M"
11,592,"M"
11,654,"M"
18,655,"M"
16,680,"M"
2,172,""
2,145,"M"
2,174,""
2,145,""
2,159,""
2,173,""
2,178,""
2,178,""
2,165,""
2,180,""
2,170,""
24,804,"F"
2,172,""
2,165,""
2,155,""
2,186,""
2,196,""
2,201,""
2,174,""
2,149,""
2,175,""
2,183,""
2,169,""
2,177,""
2,168,"F"
2,169,"M"
2,184,""
2,200,""
2,192,""
2,206,""
2,168,""
2,154,""
2,170,""
2,191,""
2,152,""
2,286,"F"
2,290,"M"
3,372,"F"
3,395,"M"
3,385,"M"
3,406,"M"
43,813,"F"
41,875,"F"
16,661,"M"
48,902,"F"
44,890,"F"
3,440,"M"
3,392,"F"
3,420,"M"
3,387,"F"
3,385,"F"
3,390,"F"
3,400,"M"
3,387,"M"
3,401,"F"
3,399,"F"
3,416,"M"
3,377,"M"
3,444,"M"
3,365,"M"
3,365,"M"
3,354,"F"
10,685,"F"
10,663,"F"
10,713,"F"
10,682,"M"
15,691,"M"
16,744,"F"
11,654,"M"
10,737,"F"
15,664,"M"
10,734,"F"
45,770,"F"
16,783,"F"
12,694,"M"
19,647,"M"
11,675,"F"
13,644,"M"
11,665,"F"
10,671,"F"
9,600,"F"
15,670,"M"
5,577,"F"
10,655,"F"
10,743,"F"
11,724,"F"
10,661,"F"
10,670,"F"
17,740,"F"
58,835,"F"
10,654,"M"
9,643,"M"
6,632,"F"
10,740,"F"
11,645,"M"
10,656,"F"
11,669,"F"
10,680,"F"
11,666,"F"
11,704,"F"
24,831,"F"
10,741,"F"
13,603,"M"
10,675,"F"
18,713,"F"
18,785,"F"
10,685,"F"
16,782,"F"
19,758,"F"
24,772,"F"
27,821,"F"
3,410,"F"
