"Age","Length","Sex"
85,749.3,"M"
85,708,"M"
83,701.7,"M"
86,762,"M"
87,711.2,"M"
87,920,"F"
81,934,"F"
87,880.1,"F"
80,720.1,"M"
86,879.3,"F"
85,968.7,"F"
87,766.2,"M"
85,761.5,"M"
80,817.9,"F"
81,834.6,"F"
32,808,"F"
87,728.7,"M"
82,899.1,"F"
82,735.5,"M"
88,735.3,"M"
90,719.6,"M"
82,830.7,"M"
41,654.1,"M"
87,697.5,"M"
87,784.7,"M"
87,742.5,"M"
88,844,"F"
89,758.3,"M"
89,753,"M"
85,725,"M"
99,860,"F"
81,793,"F"
34,643,"M"
85,785,"M"
86,704,"M"
93,734,"M"
41,675,"M"
35,765,"F"
33,691,"M"
80,764,"M"
79,794,"M"
93,692,"M"
94,880,"F"
83,915,"F"
42,736,"M"
83,801,"M"
88,715,"M"
80,870,"F"
89,930,"F"
86,760,"M"
34,705,"M"
83,763,"M"
95,880,"F"
81,730,"M"
85,810,"F"
34,653,"M"
89,710,"M"
86,786,"M"
83,785,"M"
89,748,"M"
84,714,"M"
87,781,"M"
90,844,"F"
87,725,"M"
90,761,"M"
75,721,"M"
89,750,"M"
83,921,"F"
83,789,"M"
82,910,"F"
85,749,"M"
80,793,"M"
81,778,"M"
84,865,"F"
88,755,"M"
92,770,"M"
45,737,"M"
82,697,"M"
102,734,"M"
92,775,"M"
85,812,"F"
90,750,"M"
3,344,"F"
5,509,"F"
3,440,"M"
19,802,"F"
23,820,"F"
16,793,"F"
21,820,"F"
19,643,"M"
10,706,"F"
21,744,"F"
14,757,"F"
7,572,"M"
5,565,"M"
8,618,"F"
21,770,"F"
21,701,"M"
8,584,"M"
22,643,"M"
13,705,"F"
15,602,"M"
17,634,"M"
17,751,"F"
21,804,"F"
21,781,"F"
28,832,"F"
23,819,"F"
3,418,"F"
43,873,"F"
2,315,"M"
3,349,"F"
4,443,"M"
4,411,"M"
3,473,"F"
3,430,"M"
3,447,"M"
3,326,"F"
3,435,"F"
3,414,"F"
3,459,"M"
5,484,"F"
3,430,"F"
3,419,"F"
3,426,"F"
2,356,"M"
2,348,"F"
3,404,"F"
3,438,"F"
2,385,"F"
2,330,"M"
2,342,"F"
2,330,"M"
2,307,"M"
23,807,"F"
3,415,"M"
3,396,"M"
4,384,"M"
3,431,"M"
17,600,"M"
80,873,"F"
40,698,"F"
3,361,"M"
15,601,"M"
3,406,"F"
45,711,"F"
13,780,"F"
18,695,"F"
10,710,"F"
10,515,"M"
18,739,"F"
4,400,"F"
18,647,"M"
13,619,"F"
15,552,"F"
3,365,"F"
3,406,"M"
8,466,"F"
13,481,"M"
41,565,"M"
6,464,"M"
3,385,"M"
3,438,"M"
43,664,"M"
58,691,"M"
42,840,"F"
14,616,"F"
87,830,"F"
81,840,"F"
87,834,"F"
86,946,"F"
45,773,"F"
76,887,"F"
88,879,"F"
82,753,"M"
90,685,"M"
84,710,"M"
88,898,"F"
91,905,"F"
90,845,"F"
83,873,"F"
82,938,"F"
36,890,"F"
98,934,"F"
25,841,"F"
76,853,"F"
85,910,"F"
80,900,"F"
86,874,"F"
15,910,"M"
87,921,"F"
44,888,"F"
89,849,"F"
89,970,"F"
87,868,"F"
87,710,"M"
13,790,"F"
13,684,"M"
13,660,"M"
82,687,"M"
13,715,"F"
14,661,"M"
86,747,"M"
81,860,"F"
92,847,"F"
30,855,"F"
86,957,"F"
13,676,"M"
84,734,"M"
23,653,"M"
33,666,"M"
90,710,"M"
88,693,"M"
80,800,"F"
97,869,"F"
106,963,"F"
90,897,"F"
89,795,"F"
84,733,"M"
93,827,"M"
92,837,"F"
90,840,"M"
43,883,"F"
95,730,"M"
88,829,"M"
87,711,"M"
47,865,"F"
85,806,"F"
87,771,"M"
96,758,"M"
85,809,"F"
95,933,"F"
91,799,"M"
90,885,"F"
81,746,"M"
84,836,"M"
83,803,"M"
93,718,"M"
87,742,"M"
80,795,"F"
33,853,"F"
34,688,"M"
91,808,"M"
88,770,"M"
91,872,"F"
102,743,"M"
87,923,"F"
93,820,"F"
91,920,"F"
87,882,"F"
88,864,"F"
83,803,"F"
88,670,"M"
88,970,"F"
84,905,"F"
86,728,"M"
112,872,"F"
80,725,"M"
80,925,"F"
87,723,"M"
96,780,"M"
89,870,"F"
88,781,"M"
92,1031,"F"
89,820,"M"
90,959,"F"
92,916,"F"
84,796,"M"
95,761,"M"
90,766,"M"
89,715,"M"
106,857,"F"
89,866,"F"
97,783,"M"
89,940,"F"
95,799,"F"
94,735,"M"
49,870,"F"
94,898,"F"
88,823,"M"
39,731,"M"
35,901,"F"
90,790,"M"
90,685,"M"
35,810,"F"
84,745,"M"
85,750,"M"
37,741,"M"
38,843,"F"
37,803,"F"
86,788,"M"
87,757,"M"
92,953,"F"
38,692,"M"
18,639,"M"
86,751,"M"
35,794,"F"
36,782,"F"
37,829,"F"
42,872,"F"
95,955,"F"
34,924,"F"
80,861,"F"
36,753,"M"
35,752,"F"
38,873,"F"
93,761,"M"
90,721,"M"
90,930,"F"
37,767,"M"
36,899,"F"
32,683,"M"
97,970,"F"
98,837,"F"
87,765,"M"
88,1055,"F"
87,841,"M"
94,788,"M"
