"","Type","Stat","Avg_MSE"
"1","RS_sm","L_inf",255.285135539235
"2","RS_sm","RCD",0.0213603326159941
"3","RS_sm","k",0.000119751129390035
"4","RS_la","L_inf",131.983305013927
"5","RS_la","RCD",0.0174649426829625
"6","RS_la","k",5.66222907347393e-05
"7","ALK.WI_sm","L_inf",2925.57028379966
"8","ALK.WI_sm","RCD",0.0763681197073448
"9","ALK.WI_sm","k",0.00629760231642629
"10","ALK.WI_la","L_inf",895.975619665248
"11","ALK.WI_la","RCD",0.0714680158419262
"12","ALK.WI_la","k",0.00595369926781702
"13","ALK.100_sm","L_inf",141.021776169537
"14","ALK.100_sm","RCD",0.020626149504238
"15","ALK.100_sm","k",0.0001465379369773
"16","ALK.100_la","L_inf",64.9763927523181
"17","ALK.100_la","RCD",0.0182041919899567
"18","ALK.100_la","k",7.14072348332721e-05
