"","Type","Stat","Avg_MSE"
"1","RS_sm","L_inf",215.399657159388
"2","RS_sm","RCD",0.0119533007643916
"3","RS_sm","k",0.000624030733916445
"4","RS_la","L_inf",104.405969480487
"5","RS_la","RCD",0.00963387046947055
"6","RS_la","k",0.000221585426697607
"7","ALK.WI_sm","L_inf",109.271424390118
"8","ALK.WI_sm","RCD",0.0231645687583652
"9","ALK.WI_sm","k",0.0217413311112274
"10","ALK.WI_la","L_inf",48.7758428624831
"11","ALK.WI_la","RCD",0.0187098969997244
"12","ALK.WI_la","k",0.0242671003998786
"13","ALK.100_sm","L_inf",44.674120935571
"14","ALK.100_sm","RCD",0.0129662307057224
"15","ALK.100_sm","k",0.000556130297709108
"16","ALK.100_la","L_inf",21.965036764837
"17","ALK.100_la","RCD",0.0125024612048805
"18","ALK.100_la","k",0.000277615065581817
