"Rho","SD","LB_95","UB_95"
70,8.6494179099047,8.28624917043306,9.04612655362229
75,8.69458859698783,8.32952324647717,9.09336901041238
80,7.91323089662012,7.58097292044086,8.27617405986206
85,7.75865037591305,7.43288287266928,8.11450364832608
90,8.75208356431294,8.38460413518717,9.15350100496241
95,8.56451556872465,8.20491167911293,8.95733013622014
100,7.8224312192681,7.49398570824104,8.18120982285672
105,7.70126959035348,7.37791137150072,8.05449107252908
110,8.25995887826753,7.91314260864632,8.63880484430743
115,7.13529175215621,6.83569761317657,7.46255445850385
120,6.68056921264985,6.40006780490392,6.98697590720636
125,6.69259851439446,6.41159202452661,6.99955693717473
130,6.60150570912634,6.3243239921633,6.90428612783665
135,7.06211535046145,6.76559371668844,7.38602179499231
140,6.88914581643327,6.59988676706703,7.20511895146706
145,6.68206599832761,6.40150174406721,6.98854134349419
150,6.62008281643791,6.34212109037881,6.92371528081448
155,6.40621757542027,6.13723554843528,6.70004103408268
160,5.96695404210059,5.71641565899467,6.24063052181563
165,6.68458073626309,6.40391089406421,6.99117142078384
170,5.64012189362739,5.40330642466623,5.89880810004373
175,6.22502610034287,5.96365187775492,6.51053914724348
180,7.04096761638448,6.74533392628669,7.36390411253375
185,6.93358389186902,6.64245899210583,7.25159519511472
190,5.70944908102426,5.46972272632255,5.97131500366792
195,6.1863875679706,5.92663568659021,6.47012844477464
200,6.65118352191865,6.37191595029586,6.95624243126741
